SUPPLIER_ERP,SUPPLIER_ADDRESS,SUPPLIER_CITY,SUPPLIER_STATE,SUPPLIER_ZIP_POSTAL_CDE,SUPPLIER_COUNTRY
ARGOS TRANSLATIONS SP. Z O.O.,31-546 KRAKOW MOGILSKA 100 ,WARSZAWA,,,POLAND
"THE ARTCRAFT COMPANY, INC",200 JOHN L. DIETSCH BLVD.  ,NORTH ATTLEBORO,MA,02763-1077,US
ARTISAN RESTAURANT,SOUTHPORT RESTAURANT GROUP 275 OLD POST ROAD ,SOUTHPORT,CT,6890,US
ASIAN AMERICAN HOTEL OWNERS ASSOCIATION (AAHOA),7000 PEACHTREE DUNWOODY ROAD BUILDING 7 ,ATLANTA,GA,30328,UNITED STATES
ASPIRE BAKERIES HOLDCO LLC,7090 COLLECTION CENTER DR  ,CHICAGO,IL,60693,USA
ASSOCIATION FOR HEALTHCARE FOOD,1420 NEW YORK AVENUE NW 5TH FLOOR ,WASHINGTON,DC,20005,UNITED STATES
ASSOCIATION FOR HEALTHCARE FOODSERVICE,1420 NEW YORK AVENUE NW 5TH FLOOR ,WASHINGTON,DC,20005,UNITED STATES
"ASSOCIATES FOR INTERNATIONAL RESEARCH, INC.",675 MASSACHUSETTS AVENUE SUITE 2 ,CAMBRIDGE,MA,2139,US
ATALY INC,5828 JOHNS ROAD  ,TAMPA,FL,33634,US
ATIF RAFIQ,7 IVY LANE  ,OAK BROOK,IL,60523,UNITED STATES
ATLANTIC EXECUTIVE ENTERPRISES INC,10 WATER ST SUITE 305 ,BANGOR,ME,4401,USA
"ATOMIC KID STUDIOS, LLC",2 SCHOONER LANE UNIT 1-2 ,MILFORD,CT,6460,US
A.T. PERMANENT PLACEMENT SERVICES,CRYSTAL PETROSKI 74 WASHINGTON AVENUE ,NORTH HAVEN,CT,6473,US
"ATRIA, INC.",1261 MERIDEN ROAD BUILDING 3 ,WOLCOTT,CT,6705,US
AT&T-ILLINOIS 3,P.O. BOX 9003  ,CAROL STREAM,IL,60197-9003,US
AT&T-P.O. BOX 9003,P.O. BOX 9003  ,CAROL STREAM,IL,60197-9003,US
AT&T,P.O. BOX 5019  ,CAROL STREAM,IL,60197-5019,US
AT&T-ILLINOIS 6,P.O. BOX 5019  ,CAROL STREAM,IL,60197-5019,US
AT&T-P.O. BOX 5019,P.O. BOX 5019  ,CAROL STREAM,IL,60197-5019,US
STEFAN AUDET,FRANCHISE PERFORMANCE 6 DEPOT STREET ,BELCHERTOWN,MA,1006,UNITED STATES
"AUTOMATIC DOOR DR, INC",121 NORTH PLAINS ROAD UNIT B ,WALLINGFORD,CT,6492,US
"AUXIS, LLC",8151 PETERS ROAD SUITE 3500 ,PLANTATION,FL,33324,US
AVALARA INC.,DEPT. CH 16781  ,PALATINE,IL,60055,US
"AVALON FOODSERVICE, INC.",P.O. BOX 536  ,CANAL FULTON,OH,44614,UNITED STATES
AVALON FOODSERVICE INC,PO BOX 536  ,CANAL FULTON,OH,44614,USA
A/V DAVEY AUDIO VISUALS/FIRST T,DBA A/V DAVEY AUDIO VISUALS 71 CLIFTON PLACE ,BRIDGEPORT,CT,6606,US
A/V DAVEY AUDIO VISUALS/FIRST TO SHOW LAST TO GO LLC,DBA A/V DAVEY AUDIO VISUALS 71 CLIFTON PLACE ,BRIDGEPORT,CT,6606,US
"AWKWARD HUG, LLC",DBA PART AND SUM 323 SENATOR STREET ,BROOKLYN,NY,11220,US
AXIOM GLOBAL INC,295 LAFAYETTE STREET FLOOR 7 ,NEW YORK,NY,10012,US
AYRES HOTEL,AYRES HOTEL MANHATTAN BEACH/HAWTHORNE/LAX 1440 HINDRY AVENUE ,HAWTHORNE,CA,90250,US
ARIZONA DEPARTMENT OF REVENUE,REVENUE PO BOX 29032 ,PHOENIX,AZ,85038-9032,USA
TPAS INC,"12110 BUSINESS BLVD SUITE 6, PMB117 ",EAGLE RIVER,AK,99577,USA
"BAIN & COMPANY, INC.",131 DARTMOUTH STREET  ,BOSTON,MA,2116,US
NATALIE BAJ,CREATIVE SERVICES 428 SW 15THE ROAD ,MIAMI,FL,33129,US
BAKER & MCKENZIE,452 FIFTH AVENUE  ,NEW YORK,NY,10018-2706,US
BAKER & MCKENZIE LLP,452 FIFTH AVENUE  ,NEW YORK,NY,10018-2706,US
BAKER & MCKENZIE LLP-NEW YORK,452 FIFTH AVENUE  ,NEW YORK,NY,10018-2706,US
BAKER & MCKENZIE S.A.S.,AVENIDA 82 NO. 10 - 62 PISO 5 ,BOGOTA,,,COLUMBIA
BAKER & HOSTETLER LLP,P.O. BOX 70189  ,CLEVELAND,OH,44190-0189,US
BAKER & MCKENZIE AMSTERDAM N.V.,"ATTORNEYS AT LAW, TAX ADVISORS AND CIVIL LAW NOTARIES CLAUDE DEBUSSYLAAN 54 ",AMSTERDAM,,1082,THE NETHERLANDS
BAKER & MCKENZIE (HONG KONG),14TH FLOOR ONE TAIKOO PLACE ,HONG KONG,,,HONG KONG
CRYSTAL BALLADARES,BUSINESS SERVICES 10955 SW 5TH COURT ,PEMBROKE PINES,FL,33025,UNITED STATES
BAMKO LLC,PO BOX 748020  ,CINCINNATI,OH,45274-8020,USA
B AND N PLUMBING CONTRACTOR CORP,11965 SW 142ND TERRACE UNIT 102 ,MIAMI,FL,33186,UNITED STATES
"BANK OF AMERICA, N.A.",ATTENTION: FEE COORDINATION UNIT MAILSTOP CODE: NJ2-130-03-33 ,PENNINGTON,NJ,08534-1501,UNITED STATES
BAOHUA LAW FIRM,  ,SHANGAI,,,CHINA
ROGER BARAHONA,TECHNOLOGY-MIAMI 2947 SW 27TH RERRACE ,MIAMI,FL,33133,UNITED STATES
SAMANTHA BARBARO,MEETINGS & EVENTS 324 N ELM STREET ,WALLINGFORD,CT,6492,US
JOHN BARBA,8650 SOUTH WESTERN BLVD APARTMENT 2827 ,DALLAS,TX,75206,US
CIANA BARRUECO,TECHNOLOGY 15 SACHEM DRIVE ,SEYMOUR,CT,6483,US
BARBARA BARTHOLOMEW,ACCOUNTING 21 CHESTNUT LANE ,MILFORD,CT,6461,US
MICHELLE BARTHA,DEVELOPMENT 46 BILYARD STREET ,MILFORD,CT,6461,US
NATALIE BARTHLAMA,EQUIPMENT LOGISTICS 4206 200TH DRIVE SE ,SNOHOMISH,WA,98290,UNITED STATES
JAMES (JIM)  BARTON,LEASING MARKETING INTEGRATION MANAGER 30 EDGERTON STREET ,ROCHESTER,NY,14607,US
BASELINE GLOBAL INC.,1300 S. MIAMI AVENUE # 306 ,MIAMI,FL,33130,US
"BASIC DIVERSITY, INC.",830 GLENWOOD AVENUE SUITE 510-230 ,ATLANTA,GA,30316,US
ROBYN BATZ,TRANSFORMATION 8 DEER LANE ,NEW FAIRFIELD,CT,6812,US
NORTHCOUNTRY COMMUNICATIONS INC,"BEARFOOT TRAVEL/DENALI SUMMER 2440 E TUDOR RD, STE 122 ",ANCHORAGE,AK,99507,USA
RENATA BEDNARZ,FINANCE 10 INGA CIRCLE ,NAUGATUCK,CT,6770,US
ERIK GOMEZ BEICK,INTERNATIONAL-MIAMI OFFICE 10108 RIYAL PALM BLVD ,CORAL SPRINGS,FL,33065,US
ANDREW BELLAVANCE,TECHNOLOGY 68 SCHOOL HOUSE ROAD ,NEWINGTON,CT,6111,UNITED STATES
"BELLA ROE LOTS 1 AND 4 07 A, LLC",TECHNOLOGY 68 SCHOOL HOUSE ROAD ,NEWINGTON,CT,6111,UNITED STATES
"BELL, TIMOTHY J",1770 FRONT ST SUITE 170 ,LYNDEN,WA,98264,USA
BELTMANN GROUP INCORPORATED,3039 N. ANDREWS AVENUE EXT.  ,POMPANO BEACH,FL,33064,UNITED STATES
"BENESCH, FRIEDLANDER, COPLAN & ARNOFF LLP",ATTN: ACCOUNTING DEPT. 200 PUBLIC SQUARE ,CLEVELAND,OH,44114-2378,US
BENESCH FRIEDLANDER COPLAN & AR,200 PUBLIC SQ SUITE 2300 ,CLEVELAND,OH,44114,USA
BENESCH FRIEDLANDER COPLAN & ARONOFF LLP,200 PUBLIC SQ SUITE 2300 ,CLEVELAND,OH,44114,USA
TAYLOR J BENNETT,NON-TRADTIONAL SERVICES 11267 SERENBE LANE ,CHATTACHOOCHE HILLS,GA,30268,US
ROBERTO BERASAIN,BI & ANATYTICS 10027 CORSO MILANO ,TAMPA,FL,33625,US
KRISS BERMUDEZ,FRANCHISEE PERFORMANCE 12139 SW 250 TERRACE ,HOMESTEAD,FL,33032,US
BETH-EL CENTER,"BETH-EL CENTER, INC. 90 NEW HAVEN AVENUE ",MILFORD,CT,6460,UNITED STATES
BETTER BUSINESS BUREAU INC.,29 BERLIN ROAD  ,CROMWELL,CT,6416,US
BEUTLER ENTERPRISES INC.,P.O. BOX 1089  ,CROZET,VA,22932,UNITED STATES
BEYONDTRUST CORPORATION,11695 JOHNS CREEK PARKWAY SUITE 200 ,JOHNS CREEK,GA,30097,US
"BHCARE FOUNDATION, INC.",127 WASHINGTON AVENUE 3RD FLOOR WEST ,NORTH HAVEN,CT,6473,US
"BHCARE, INC.",127 WASHINGTON AVENUE 3RD FLOOR WEST ,NORTH HAVEN,CT,6473,US
PURUSHOTTAM G BHOSLE,PRODUCT MANAGEMENT 28 W RIDGE DRIVE ,ROCKY HILL,CT,6067,US
"BIC DRIVE REALTY CORP II, LLC",325 SUB WAY  ,MILFORD,CT,6461,US
ROBBIE BICE,FRANCHISE PERFORMANCE 340 VIRGINIA COURT ,FATE,TX,75189,US
BIG CITY MOUNTAINEERS INC,5394 MARSHALL ST SUITE 200 ,ARVADA,CO,80002,USA
"BIGSPEAK, INC",800 N. MILPAS STREET SUITE B ,SANTA BARBARA,CA,93103,UNITED STATES
THE BILTMORE HOTEL LTD. PARTNERSHIP,120 ANASTASIA AVENUE  ,CORAL GABLES,FL,33134,US
BIOSHIELD CLEAN LLC,1756 N BAYSHORE DR SUITE 230 ,MIAMI,FL,33132,USA
BISCAYNE ENGINEERING,529 WEST FLAGLER STREET  ,MIAMI,FL,33130,US
BIZBUYSELL,BIZBUYSELL ATTN: AR ,WASHINGTON,DC,20005,UNITED STATES
"BIZERBA USA, INC.",1804 FASHION COURT  ,JOPPA,MD,21085,US
BLACKHAWK NETWORK CANADA LTD-VELOCITY,C/O WELLS FARGO BANK PO BOX 932859 ,ATLANTA,GA,31193,USA
BLACKHAWK NETWORK INC,C/O WELLS FARGO BANK PO BOX 932859 ,ATLANTA,GA,31193,USA
BLADE & TINE CULINARY LLC,3218 E BAY DR  ,HOLMES BEACH,FL,34217,USA
BLADE & TINE LLC,3218 E BAY DRIVE  ,HOLMES BEACH,FL,34217,US
BLAKE ROSS NEWTON,6167 CATINA STREET  ,NEW ORLEANS,LA,70124,UNITED STATES
BLOOMBERG L.P.,731 LEXINGTON AVENUE  ,NEW YORK,NY,10022,US
"BLOOMBERG INDUSTRY GROUP, INC.",1801 SOUTH BELL STREET  ,ARLINGTON,VA,22202,UNITED STATES
"BLUE EARTH COMPOST, INC.",3580 MAIN STREET  ,HARTFORD,CT,6120,US
"BLUE ROCK SEARCH, LLC",2946 UNIVERSITY PARKWAY  ,SARASOTA,FL,34243,US
BOARD ORG LLC,3616 FAR WEST BLVD. SUITE 500 ,AUSTIN,TX,78731,US
BO BLAGODIYNYY FOND GOLOSY DIETY BLAGODIYNA ORGANIZACIYA,"35 NABEREZHNO-KHRESHCHATYTSKA, APP. 72  ",KYIV,,,UKRAINE
BOOZ ALLEN HAMILTON INC.,P.O. BOX 8500 S-2725 ,PHILADELPHIA,PA,19178-2725,US
BORDEN LADNER GERVAIS LLP,NON-TRADITIONAL 12901 N LASALLE DRIVE ,CHICAGO,IL,60610,US
RENEE E BORDERS,NON-TRADITIONAL 12901 N LASALLE DRIVE ,CHICAGO,IL,60610,US
"BORDEN, REBECCA",10 LOMBARDY ST  ,BROOKLYN,NY,11222,USA
MARRIOTT HOTEL SERVICES INC,110 HUNTINGTON AVE  ,BOSTON,MA,2116,USA
BOTTOMLINE TECHNOLOGIES DE INC,PO BOX 412377  ,BOSTON,MA,02241-2377,USA
ROSANNA BOYLE,MEETINGS & EVENTS 231 CLINTONVILLE LANE ,NORTH HAVEN,CT,6473,US
BOYS & GIRLS CLUB OF THE KENAI PENINSULA,"KENAI PENINSULA 705 FRONTAGE RD, STE B ",KENAI,AK,99611,USA
BOYS & GIRLS CLUB OF MILFORD,MEGAN ALTOMARE-PRESIDENT P.O. BOX 2294 ,MILFORD,CT,06460-2294,US
"BOYS & GIRLS CLUBS OF MIAMI-DADE, INC.",2805 SW 32ND AVENUE  ,MIAMI,FL,33133,US
PARKER BRADSHAW,FIELD OPERATIONS-ATLANTA 8660 LAKE DRIVE ,SNELLVILLE,GA,30039,US
BRAINBOX DESIGN ESTRATEGICO S A,"RUA ITPAVA, 362 ALTO DA XV ",CURITBA,,,BRASIL
BRAINBOX DESIGN ESTRATEGICO S/A,"RUA ITPAVA, 362 ALTO DA XV ",CURITBA,,,BRASIL
"BRANCH METRICS, INC.",195 PAGE MILL ROAD  ,PALO ALTO,CA,94306,US
CRIMSON HEXAGON INC,"BRANDWATCH PO BOX 123363, DEPT 3363 ",DALLAS,TX,75312-3363,USA
NORMAN T (TIM)  BREEN,COMPANY TERRITORY MANAGEMENT 7815 GLEN HOLLOW LANE ,SACHSE,TX,75048,US
NICOSIA BREWER,FRANCHISEE PERFORMANCE 565 GREENSFERRY AVENUE SW ,ATLANTA,GA,30314,US
JOHN BRIA,BUSINESS PLANNING 38 SAWMILL ROAD ,MILFORD,CT,6461,US
BRIAN NELSON SMITH,85 VISCOUNT DRIVE A-45 ,MILFORD,CT,6460,US
BRIDGEPORT ISLANDERS,"CONNECTICUT ISLANDERS, LLC ARENA AT HARBOR YARD ",BRIDGEPORT,CT,6604,US
"BRIDGEPORT RESCUE MISSION, INC.",1088 FAIRFIELD AVENUE  ,BRIDGEPORT,CT,6605,US
BRIGHTCOVE INC,ATTN: ACCOUNTS RECEIVABLE 281 SUMMER STREET ,BOSTON,MA,2210,US
TIMOTHY BRINKLEY,LEGAL 70 FOREST STREET ,STAMFORD,CT,6901,US
"BROAD STREET LICENSING GROUP, LLC",118 COOPER AVENUE  ,UPPER MONTCLAIR,NJ,07043-2219,US
JASMINE BROOKS,RESEARCH & DEVELOPMENT 1111 STRATFORD AVENUE ,STRATFORD,CT,6615,US
"BROWN & JAMES, P.C.",MARKET INTEGRATION 316 HAWTHORNE DRIVE ,JEFFERSONVILLE,IN,47130,US
CHRIS BROWN,MARKET INTEGRATION 316 HAWTHORNE DRIVE ,JEFFERSONVILLE,IN,47130,US
CHRISTOPHER J. BROWN,MARKET INTEGRATION 316 HAWTHORNE DRIVE ,JEFFERSONVILLE,IN,47130,US
JAMES (JIM) BROWN,OPERATIONS 5448 EFIRD ROAD ,WILMINGTON,NC,28409,US
JIM BROWN,OPERATIONS 5448 EFIRD ROAD ,WILMINGTON,NC,28409,US
BROWSERSTACK INC.,4512 LEGACY DRIVE SUITE 100 ,PLANO,TX,75024,US
"BTP TECHNOLOGIES, LLC",4001 WESTFAX DRIVE SUITE H ,CHANTILLY,VA,20151,US
BTX GLOBAL LOGISTICS,375 BRIDGEPORT AVENUE 2ND FLOOR ,SHELTON,CT,6484,US
SCOTT BUFFINGTON,FRANCHISE PERFORMANCE 143 HEATHERVIEW DRIVE ,EAST PEORIA,IL,61611,US
FRANCESCO S. BUFFONE,OPERATIONS 63 COOPER ROAD ,WEST HAVEN,CT,6516,US
DAVID W BULGER,FRANCHISE SALES 6412 PARSON BROWN DRIVE ,ORLANDO,FL,32819,US
"BUREAU OF NATIONAL AFFAIRS, INC.","THE BUREAU OF NATIONAL AFFAIRS, INC. 1801 SOUTH BELL STREET ",ARLINGTON,VA,22202,UNITED STATES
BURKE INC,1360 SOLUTIONS CENTER  ,CHICAGO,IL,60677-1003,USA
"BURKE, INC.",1360 SOLUTIONS CENTER  ,CHICAGO,IL,60677-1003,US
BUSINESS FOR SOCIAL RESPONSIBILITY,88 KEARNEY STREET 12TH FLOOR ,SAN FRANCISCO,CA,94108,US
JEFFERY S BYRON,DIGITAL PRODUCT 139 W CHURCH STREET ,SEYMOUR,CT,6483,US
CALIFORNIA BOARD OF EQUALIZATIO,EQUALIZATION PO BOX 942879 ,SACRAMENTO,CA,94279-7072,USA
CALIFORNIA BOARD OF EQUALIZATION,EQUALIZATION PO BOX 942879 ,SACRAMENTO,CA,94279-7072,USA
CABRERA & RICO,867 AVE MUNOZ RIVERA SUITE D403 ,SAN JUAN,PR,925,US
"CAFEEXPRESS USA, LLC",31 SE 5TH STREET SUITE 312 ,MIAMI,FL,33131,US
MILDRED CALLAHAN,MARKETING 2 NAPLES LANE ,OXFORD,CT,6478,US
CALLIGO,"TOG, SCOTT HOUSE, SUITE 1 THE CONCOURSE ",WATERLOO STATION,LONDON,SE1 7LY,UNITED KINGDOM
"CALLTOWER, INC",10701 S. RIVER FRONT PARKWAY SUITE 400 ,SOUTH JORDAN,UT,84095,UNITED STATES
